Method,Plant Type,Equipment,Equipment Type,Sizing Quantity,Units,S lower,S upper,a,b,n,Installation Factor,Material Factor,Equipment Erection Factor,Piping Factor,Instrumentation and Control Factor,Electrical Factor,Civil Factor,Structures and Buildings Factor,Lagging and Paint Factor,ISBL Cost Factor,Offsites Factor,Design and Engineering Factor,Contingency,Location Factor
material factors,mixed,Trays,Bubble cap trays,diameter,m,0.5,5,340,640,1.9,,1,0.3,0.8,0.3,0.2,0.3,0.2,0.1,3.3,0.3,0.3,0.1,1.07
material factors,mixed,Utilities,Cooling tower and pumps,flow ,liters/s,100,10000,170000,1500,0.9,,1,0.3,0.8,0.3,0.2,0.3,0.2,0.1,3.3,0.3,0.3,0.1,1.07
material factors,mixed,Utilities,Packaged mechanical refrigerator ,evaporator duty,kW,50,1500,24000,3500,0.9,,1,0.3,0.8,0.3,0.2,0.3,0.2,0.1,3.3,0.3,0.3,0.1,1.07
material factors,mixed,Utilities,Water ion exchange plant,flow ,m³/h,1,50,14000,6200,0.75,,1,0.3,0.8,0.3,0.2,0.3,0.2,0.1,3.3,0.3,0.3,0.1,1.07
Hand,any,Agitators and Mixers,Propeller ,driver power,kW,5,75,17000,1130,1.05,3,,,,,,,,,,,,,1.07
Hand,any,Agitators and Mixers,Spiral ribbon mixer,driver power,kW,5,35,30800,125,2,3,,,,,,,,,,,,,1.07
Hand,any,Agitators and Mixers,Static mixer,flowrate,liters/s,1,50,570,1170,0.4,3,,,,,,,,,,,,,1.07
Hand,any,Boilers,"Packaged, 15 to 40 bar",steam mass flowrate,kg/h ,5000,200000,124000,10,1,2,,,,,,,,,,,,,1.07
Hand,any,Boilers,"Field erected, 10 to 70 bar",steam mass flowrate,kg/h ,20000,800000,130000,53,0.9,2,,,,,,,,,,,,,1.07
Hand,any,Centrifuges,High-speed disk,diameter,m,0.26,0.49,57000,480000,0.7,3,,,,,,,,,,,,,1.07
Hand,any,Centrifuges,Atmospheric suspended basket,power,kW,2,20,65000,750,1.5,3,,,,,,,,,,,,,1.07
Hand,any,Compressors,Blower,flowrate,m³/h,200,5000,4450,57,0.8,2.5,,,,,,,,,,,,,1.07
Hand,any,Compressors,Centrifugal,driver power,kW,75,30000,580000,20000,0.6,2.5,,,,,,,,,,,,,1.07
Hand,any,Compressors,Reciprocating,driver power,kW,93,16800,260000,2700,0.75,2.5,,,,,,,,,,,,,1.07
Hand,any,Conveyors,"Belt, 0.5 m wide",length,m,10,500,41000,730,1,3.5,,,,,,,,,,,,,1.07
Hand,any,Conveyors,"Belt, 1.0 m wide",length,m,10,500,46000,1320,1,3,,,,,,,,,,,,,1.07
Hand,any,Conveyors,"Bucket elevator, 0.5 m bucket",height,m,10,30,17000,2600,1,3,,,,,,,,,,,,,1.07
Hand,any,Crushers,Reversible hammer mill,mass flowrate,t/h,30,400,68400,730,1,3,,,,,,,,,,,,,1.07
Hand,any,Crushers,Pulverizers,mass flowrate,kg/h,200,4000,16000,670,0.5,4,,,,,,,,,,,,,1.07
Hand,any,Crushers,Jaw crusher,mass flowrate,t/h,100,600,-8000,62000,0.5,4,,,,,,,,,,,,,1.07
Hand,any,Crushers,Gyratory crusher,mass flowrate,t/h,200,3000,5000,5100,0.7,3,,,,,,,,,,,,,1.07
Hand,any,Crushers,Ball mill,mass flowrate,t/h,0.7,60,-23000,242000,0.4,3,,,,,,,,,,,,,1.07
Hand,any,Crystallizers,Scraped surface crystallizer,length,m,7,280,10000,13200,0.8,4,,,,,,,,,,,,,1.07
Hand,any,Dryers,Direct contact rotary,area,m²,11,180,15000,10500,0.9,3,,,,,,,,,,,,,1.07
Hand,any,Dryers,Atmospheric tray batch,area,m²,3,20,10000,7900,0.5,3,,,,,,,,,,,,,1.07
Hand,any,Dryers,Spray dryer,evap rate,kg/h,400,4000,410000,2200,0.7,3,,,,,,,,,,,,,1.07
Hand,any,Evaporators,Vertical tube,area,m²,11,640,330,36000,0.55,3,,,,,,,,,,,,,1.07
Hand,any,Evaporators,Agitated Falling film,area,m²,0.5,12,88000,65500,0.75,3,,,,,,,,,,,,,1.07
Hand,any,Exchangers,U-tube shell and tube,area,m²,10,1000,28000,54,1.2,3.5,,,,,,,,,,,,,1.07
Hand,any,Exchangers,Floating head shell and tube,area,m²,10,1000,32000,70,1.2,3.5,,,,,,,,,,,,,1.07
Hand,any,Exchangers,Double pipe,area,m²,1,80,1900,2500,1,3.5,,,,,,,,,,,,,1.07
Hand,any,Exchangers,Thermosiphon reboiler,area,m²,10,500,30400,122,1.1,3.5,,,,,,,,,,,,,1.07
Hand,any,Exchangers,U-tube Kettle reboiler,area,m²,10,500,29000,400,0.9,3.5,,,,,,,,,,,,,1.07
Hand,any,Exchangers,Plate and frame,area,m²,1,500,1600,210,0.95,3.5,,,,,,,,,,,,,1.07
Hand,any,Filters,Plate and frame,capacity,m³,0.4,1.4,128000,89000,0.5,3,,,,,,,,,,,,,1.07
Hand,any,Filters,Vacuum drum,area,m²,10,180,-73000,93000,0.3,3,,,,,,,,,,,,,1.07
Hand,any,Furnaces,Cylindrical,duty,MW,0.2,60,80000,109000,0.8,3,,,,,,,,,,,,,1.07
Hand,any,Furnaces,Box,duty,MW,30,120,43000,111000,0.8,3,,,,,,,,,,,,,1.07
Hand,any,Packings,304 ss Raschig rings,volume,m³,,,0,8000,1,3,,,,,,,,,,,,,1.07
Hand,any,Packings,Ceramic Intalox saddles,volume,m³,,,0,2000,1,3,,,,,,,,,,,,,1.07
Hand,any,Packings,304 ss pall rings,volume,m³,,,0,8500,1,3,,,,,,,,,,,,,1.07
Hand,any,Packings,PVC structured packing,volume,m³,,,0,5500,1,3,,,,,,,,,,,,,1.07
Hand,any,Packings,304 ss structured packing,volume,m³,,,0,7600,1,3,,,,,,,,,,,,,1.07
Hand,any,Pressure Vessels,"Vertical, cs ",shell mass,kg,160,250000,11600,34,0.85,4,,,,,,,,,,,,,1.07
Hand,any,Pressure Vessels,"Horizontal, cs ",shell mass,kg,160,250000,10200,31,0.85,4,,,,,,,,,,,,,1.07
Hand,any,Pressure Vessels,"Vertical, 304 ss ",shell mass,kg,120,250000,17400,79,0.85,4,,,,,,,,,,,,,1.07
Hand,any,Pressure Vessels,"Horizontal, 304 ss ",shell mass,kg,120,50000,12800,73,0.85,4,,,,,,,,,,,,,1.07
Hand,any,Pumps and Drivers,Single-stage centrifugal ,flow ,liters/s,0.2,126,8000,240,0.9,4,,,,,,,,,,,,,1.07
Hand,any,Pumps and Drivers,Explosion proof motor ,power,kW,1,2500,-1100,2100,0.6,4,,,,,,,,,,,,,1.07
Hand,any,Pumps and Drivers,Condensing steam turbine,power,kW,100,20000,-14000,1900,0.75,4,,,,,,,,,,,,,1.07
Hand,any,Reactors,"Jacketed, agitated",volume,m³,0.5,100,61500,32500,0.8,3,,,,,,,,,,,,,1.07
Hand,any,Reactors,"Jacketed, agitated, glass lined",volume,m³,0.5,25,12800,88200,0.4,3,,,,,,,,,,,,,1.07
Hand,any,Tanks,Floating roof,capacity,m³,100,10000,113000,3250,0.65,3,,,,,,,,,,,,,1.07
Hand,any,Tanks,Cone roof,capacity,m³,10,4000,5800,1600,0.7,3,,,,,,,,,,,,,1.07
Hand,any,Trays,Sieve trays,diameter,m,0.5,5,130,440,1.8,4,,,,,,,,,,,,,1.07
Hand,any,Trays,Valve trays,diameter,m,0.5,5,210,400,1.9,4,,,,,,,,,,,,,1.07
Hand,any,Trays,Bubble cap trays,diameter,m,0.5,5,340,640,1.9,4,,,,,,,,,,,,,1.07
Hand,any,Utilities,Cooling tower and pumps,flow ,liters/s,100,10000,170000,1500,0.9,3,,,,,,,,,,,,,1.07
Hand,any,Utilities,Packaged mechanical refrigerator ,evaporator duty,kW,50,1500,24000,3500,0.9,3,,,,,,,,,,,,,1.07
Hand,any,Utilities,Water ion exchange plant,flow ,m³/h,1,50,14000,6200,0.75,3,,,,,,,,,,,,,1.07
